customer_number,stage_grouped,max_closed_date,cloud_revenue,total_opp_amount,employees,mk_fit_score,industry,ee_count,contacts_count,non_ee_count,emb_world_attendees,email_clicks,a365_new_wb_visits,a365_rest_wb_visits,total_webinars_attended,total_webinar_attendees,assembly_app_events,assembly_app_days_used,comms_events,comms_days_used,libs_events,libs_days_used,manufacturing_events,manufacturing_days_used,mcad_events,mcad_days_used,multi_cad_events,multi_cad_days_used,part_request_events,part_request_days_used,share_events,share_days_used,tasks_events,tasks_days_used,version_control_events,version_control_days_used,web_review_events,web_review_days_used
1773765,won,6/26/2024,459,459,8,14,Industrial/Instrumentation,1,18,8,0,3,1,30,0,0,392,12,0,0,875,36,0,0,2036,89,0,0,0,0,6,3,0,0,3447,126,187,28
1675785,won,6/28/2024,3848,3848,0,14,Consumer Electronics,0,9,7,0,3,0,111,0,0,18,15,0,0,2078,90,127,50,2632,82,1,1,13,11,14,8,1,1,3927,113,5059,142
1839792,lost,7/15/2024,499,499,0,0,Service Bureau / Engineering Services,1,1,0,0,1,0,0,0,0,175,10,851,80,3100,107,34,22,5,5,0,0,1,1,72,24,583,63,3763,140,2760,138
508177,lost,7/19/2024,499,499,150,0,Medical Device,10,24,7,0,4,0,4,0,0,3,3,0,0,1010,61,0,0,7,4,0,0,8,4,6,2,0,0,1971,113,6001,113
1722413,lost,6/29/2024,558.99,558.99,0,0,Consumer Electronics,2,19,8,0,16,2,7,2,2,1,1,0,0,90,4,0,0,0,0,0,0,0,0,0,0,0,0,417,68,458,31
561925,lost,9/25/2024,499,499,28,0,Service Bureau / Engineering Services,3,24,12,0,13,7,36,0,0,1,1,204,36,137,21,6,3,323,13,0,0,0,0,120,20,15,10,9313,144,3947,133
1833826,won,7/31/2024,0,26970,0,0,Service Bureau / Engineering Services,5,28,8,0,43,3,57,4,5,20,8,833,91,1069,112,87,48,28131,117,1,1,45,8,54,25,543,64,16207,161,10024,144
1522606,won,7/30/2024,0,70425,51,0,Service Bureau / Engineering Services,16,43,10,0,39,1,9,1,1,0,0,0,0,12044,20,1,1,99,16,1,1,3,3,1,1,0,0,244,52,81,10
884082,lost,7/23/2024,862.8,862.8,51,0,Service Bureau / Engineering Services,2,10,6,0,4,0,6,0,0,15,9,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1022,71,804,45
1186533,won,8/2/2024,0,30185.99,51,0,Telecommunications,1,4,0,0,4,0,54,0,0,0,0,0,0,151,11,0,0,0,0,0,0,0,0,0,0,0,0,42,6,34,2
1677672,won,9/27/2024,7802.15,28511.99,0,0,Automotive,1,13,2,0,0,0,7,0,0,33,3,13,7,353,13,1,1,153,8,0,0,3,3,3,2,10,4,875,37,3819,38
1397970,lost,9/13/2024,0,30185.99,12,0,Engineering,5,11,4,0,149,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1780579,won,8/2/2024,0,35212.5,0,0,Automotive,1,17,8,0,0,0,4,0,0,1,1,0,0,234,26,0,0,2,1,1,1,2,1,0,0,0,0,1162,81,185,14
1729999,lost,10/10/2024,999,999,45,0,Medical Device,4,14,9,0,4,0,3,0,0,3,3,2,2,149,29,3,2,0,0,0,0,0,0,1,1,0,0,1047,83,3407,92
869616,lost,8/19/2024,0,30185.99,359,0,Aerospace & Defense,1,32,21,0,7,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1171895,lost,10/14/2024,5524.99,5524.99,109,0,Industrial/Instrumentation,8,52,17,0,16,11,184,0,0,8,7,121,20,2161,119,96,41,12,6,0,0,1,1,34,15,15,4,5333,123,33761,146
1384014,lost,1/2/2024,5000,5000,17,0,Industrial/Instrumentation,8,24,4,0,16,0,21,0,0,0,0,0,0,21,10,3,1,0,0,0,0,0,0,4,2,0,0,1684,89,166,11
1522606,lost,10/12/2023,15000,15000,51,0,Service Bureau / Engineering Services,16,43,10,0,39,1,9,1,1,0,0,0,0,12044,20,1,1,99,16,1,1,3,3,1,1,0,0,244,52,81,10
